Call,Arrival Time (min),Waiting Time (min),Service Time (min),Departure Time (min)
1,0.0,0.0,0.775036379382814,0.775036379382814
2,3.6364789268044038,0.0,1.3131556733665735,4.9496346001709774
3,3.8642163239019625,0.0,2.623078573774598,6.487294897676561
4,4.27357529394966,0.0,5.310821585417488,9.584396879367148
5,5.323077443544685,0.0,9.235015127484706,14.558092571029391
6,6.314976419353594,0.0,3.4472609119110595,9.762237331264654
7,7.185366141837235,0.0,1.55651016845881,8.741876310296046
8,7.402092022396545,0.0,3.003530302690848,10.405622325087393
9,7.676990702985296,0.0,9.969773682863085,17.646764385848382
10,9.272751994458929,0.0,9.881385787902708,19.154137782361637
11,12.656313615392364,0.0,13.98381271025021,26.640126325642573
12,12.781649668187718,0.0,0.3480274491034586,13.129677117291177
13,12.964884156400904,0.0,2.4158967951051626,15.380780951506067
14,12.971648928056602,0.0,3.6521092552032317,16.623758183259834
15,13.395343561601443,0.0,2.935704984431653,16.331048546033095
16,13.742991304129736,0.8151012668996547,5.3152635799249595,19.87335615095435
17,14.799333666463866,0.5814472850422003,2.0144093596446075,17.395190311150674
18,15.698298468791426,0.6327500772416688,7.987852618267161,24.318901164300257
19,18.218553138736585,0.0,2.6131960093636963,20.831749148100283
20,18.229522398695547,0.0,4.504683222693122,22.734205621388668
21,20.82957393576179,0.0,10.56963614543133,31.399210081193118
22,22.88985815133274,0.0,5.447906293273925,28.337764444606663
23,23.810610019145038,0.0,4.431677399502883,28.24228741864792
24,24.98943953860072,0.0,7.955404026310174,32.9448435649109
25,25.41690026509295,0.0,10.980805295048071,36.39770556014102
26,27.970225081700313,0.0,7.662133028010118,35.63235810971043
27,29.560585459448287,0.0,6.807607141429634,36.36819260087792
28,30.401052755677775,0.0,1.2792489659168986,31.680301721594674
29,30.810236376407858,0.0,17.224112128970027,48.034348505377885
30,34.66236917483914,0.0,9.76585385112799,44.42822302596713
31,37.44823993612748,0.0,3.012127777480771,40.46036771360825
32,38.67029052238907,0.0,9.315304721073417,47.985595243462484
33,40.030796197535885,0.0,4.544251199527421,44.57504739706331
34,41.24540477503853,0.0,5.658362112659737,46.90376688769827
35,42.224778650507886,0.0,9.099733190990433,51.32451184149832
36,42.952989044598986,0.0,3.5342517570156393,46.487240801614625
37,45.31507448442959,0.0,5.731451336146789,51.04652582057638
38,46.707789074664674,0.0,5.409105192660097,52.116894267324774
39,46.801027412169574,0.0,1.8645228560836458,48.66555026825322
40,47.58931207663057,0.0,0.3276807233209795,47.91699279995155
41,47.61457829440211,0.30241450554944294,1.9846592494645943,49.90165204941614
42,48.54168959346905,0.0,7.068767918478901,55.610457511947956
43,48.962362083441796,0.0,1.0025037351775257,49.96486581861932
44,50.60173535189351,0.0,9.977748029935853,60.57948338182936
45,52.63573220398533,0.0,2.8429103654330423,55.47864256941837
46,52.8891298804876,0.0,5.989600628209137,58.87873050869674
47,53.03127664468957,0.0,2.305546598598203,55.336823243287775
48,53.707190994171995,0.0,2.5607044685032285,56.26789546267523
49,54.41169965404968,0.0,1.591661874308765,56.00336152835844
50,56.245292095354394,0.0,3.3474222937891365,59.59271438914353
51,56.970918873773726,0.0,4.176553353883419,61.14747222765715
52,58.683571128864536,0.0,4.978120678835107,63.66169180769964
53,59.572003368290645,0.0,1.7715534327870786,61.343556801077725
54,61.25069468509772,0.0,9.88221107164265,71.13290575674037
55,61.30109206151893,0.0,1.9382956333700545,63.23938769488898
56,62.47679445334715,0.0,3.1695229277349903,65.64631738108214
57,62.850878212305304,0.0,9.798355459553441,72.64923367185875
58,65.01778442060338,0.0,0.8777334405906969,65.89551786119408
59,65.17138792186267,0.0,1.504266959010053,66.67565488087273
60,65.56163158721102,0.0,0.6123711764993228,66.17400276371035
61,67.4687905737266,0.0,2.6311571052091103,70.0999476789357
62,70.99658124355514,0.0,1.9784252029514442,72.97500644650658
63,74.56078956828446,0.0,6.286436138008814,80.84722570629327
64,74.62377653795502,0.0,11.835471835825278,86.4592483737803
65,79.54425923370798,0.0,0.20285252327671577,79.7471117569847
66,80.71788602038994,0.0,11.812119317989021,92.53000533837896
67,81.92202996508345,0.0,2.825409224306248,84.7474391893897
68,82.62297806742694,0.0,2.657114769162688,85.28009283658963
69,83.37128216681174,0.0,3.0154028598401044,86.38668502665185
70,83.55045807542285,0.0,6.130775570440792,89.68123364586364
71,88.462645734521,0.0,3.038864180518097,91.50150991503911
72,92.24669909871146,0.0,1.3357534894125616,93.58245258812403
73,93.44976434790362,0.0,4.998799621893156,98.44856396979678
74,96.24846443008806,0.0,3.1278792245758424,99.37634365466391
75,103.18589418356896,0.0,1.7410938431644896,104.92698802673345
76,104.96039730686877,0.0,0.6316298246846888,105.59202713155346
77,105.12595228066525,0.0,0.6236232339676638,105.74957551463291
78,108.39591564417177,0.0,3.4103395067924214,111.80625515096419
79,110.1933062306929,0.0,4.984209490751851,115.17751572144475
80,110.58821250398235,0.0,13.355574159034425,123.94378666301677
81,111.59219358711078,0.0,1.0384174087109788,112.63061099582177
82,111.65989417650106,0.0,2.7326615668442034,114.39255574334526
83,111.87497516616885,0.0,0.5435746891825121,112.41854985535136
84,113.38859147541173,0.0,1.8112075429140009,115.19979901832573
85,113.75900617641155,0.0,9.972499020664907,123.73150519707646
86,114.0207601433631,0.0,3.2150967570870153,117.23585690045012
87,114.06491934344544,0.0,3.411127882120389,117.47604722556582
88,114.37411750875604,0.018438234589211788,13.936089865214251,128.3286456085595
89,114.59561204686909,0.5819036745756563,16.88904577297738,132.06656149442213
