Call,Arrival Time (min),Waiting Time (min),Service Time (min),Departure Time (min)
1,0.0,0.0,2.1096207773505835,2.1096207773505835
2,0.6391472664306513,0.0,0.07707269636649437,0.7162199627971457
3,0.7932446962373831,0.0,13.011740300490091,13.804984996727475
4,1.110707588710341,0.0,15.383318354597543,16.494025943307886
5,5.854943977051329,0.0,2.5423546106413744,8.397298587692703
6,6.839051783622973,0.0,2.269939124622074,9.108990908245048
7,7.312884314221091,0.0,1.8789825514359444,9.191866865657035
8,7.807158607533171,0.0,8.684734922835949,16.49189353036912
9,8.363151969675005,0.0,13.006647344452821,21.369799314127825
10,9.27559496104406,0.0,0.9759405626014894,10.25153552364555
11,11.213947567319552,0.0,6.079305571833339,17.293253139152892
12,11.936900467160399,0.0,21.092646498309353,33.02954696546975
13,13.495503539417273,0.0,0.8489393076014392,14.344442847018712
14,15.197752069177149,0.0,11.847753006139783,27.04550507531693
15,18.49727558705581,0.0,9.98972786972243,28.48700345677824
16,20.490211762727604,0.0,2.4555455880070625,22.945757350734667
17,20.599849135171414,0.0,21.6803042830069,42.280153418178315
18,22.47968460337314,0.0,9.36383481847471,31.84351942184785
19,22.493915542161346,0.0,17.880605797581175,40.37452133974252
20,23.893155925921675,0.0,8.247620648729407,32.140776574651085
21,24.904508176384212,0.0,8.00900557464022,32.91351375102443
22,26.082240219956596,0.963264855360336,2.8530947249576517,29.89859980027458
23,26.33654993503507,2.15045352174317,5.882557157426657,34.3695606142049
24,30.558845078537033,0.0,17.850056380810717,48.408901459347746
25,31.07666420612869,0.7668552157191613,15.013800388337875,46.85731981018573
26,39.16591919201815,0.0,6.493642083751612,45.65956127576976
27,40.34586830520179,0.0,4.389707306126819,44.735575611328606
28,44.57531635564792,0.0,1.9030306850558265,46.478347040703746
29,45.56508955946104,0.0,3.1504019195326673,48.71549147899371
30,46.398619824241685,0.0,0.3753467969566085,46.77396662119829
31,48.11571570673217,0.0,22.44726710925395,70.56298281598612
32,49.9610330621791,0.0,2.3426542670263464,52.303687329205445
33,50.79304577252768,0.0,2.019251957972336,52.81229773050001
34,52.43490928752551,0.0,1.2620535221589382,53.69696280968444
35,55.48778266249765,0.0,1.593212289887112,57.08099495238476
36,56.66539863980146,0.0,5.356405031612955,62.02180367141442
37,57.27894612660834,0.0,4.228934325009071,61.50788045161741
38,58.50530632611575,0.0,10.868089347305009,69.37339567342076
39,60.06315831713426,0.0,5.0826880640054535,65.14584638113972
40,60.27569601037772,0.0,8.265329663268629,68.54102567364635
41,61.067574901754064,0.0,2.4248516528108044,63.492426554564865
42,61.81236936253044,0.0,3.4086100417282266,65.22097940425867
43,62.253970279367415,0.0,1.0368543387378037,63.29082461810522
44,63.69690137059463,0.0,8.818143464868909,72.51504483546354
45,65.31498161059211,0.0,3.760438535378861,69.07542014597098
46,65.44913832200234,0.0,6.934040242017951,72.3831785640203
47,67.48258932490076,0.0,1.101794216860269,68.58438354176103
48,67.56652205236401,0.0,0.5324433976177546,68.09896544998176
49,67.99357320470781,0.10539224527394708,1.0855118696603223,69.18447731964208
50,68.08561663539828,0.4554090382480638,7.169654856228256,75.7106805298746
51,69.18894374758996,0.0,3.628836845173166,72.81778059276313
52,69.99445123848201,0.0,13.371931574596328,83.36638281307835
53,70.26885738878626,0.0,4.166879400089078,74.43573678887533
54,73.50047234229885,0.0,20.333446215860473,93.83391855815933
55,74.18999381567201,0.0,14.098014253868444,88.28800806954045
56,74.4946711359575,0.0,6.32442495391774,80.81909608987525
57,75.95116309938874,0.0,3.060695388803806,79.01185848819254
58,78.47439932250055,0.0,0.7339839008612217,79.20838322336176
59,81.2008464383582,0.0,5.540663440944347,86.74150987930254
60,81.34225330783768,0.0,4.491896878155645,85.83415018599332
61,83.38054114256951,0.0,0.9576803386796883,84.3382214812492
62,83.56626806862198,0.0,4.547631975948192,88.11390004457017
63,85.25403752389325,0.0,18.854989960240776,104.10902748413402
64,86.1703894075523,0.0,13.791571528095512,99.96196093564782
65,87.15479765407436,0.0,17.913110254836575,105.06790790891094
66,87.31655113314426,0.0,1.638074144527363,88.95462527767162
67,87.36277388410385,0.0,1.7483372017166547,89.1111110858205
68,90.31507461267557,0.0,6.842528975110951,97.15760358778653
69,91.93892664427247,0.0,5.381472323040183,97.32039896731266
70,96.91222202035526,0.0,1.728834405046953,98.64105642540221
71,97.93301736295713,0.0,14.121900791261774,112.05491815421891
72,98.55937460261688,0.0,10.471177123494243,109.03055172611113
73,102.03366708554572,0.0,10.72451572810414,112.75818281364985
74,102.26253961394839,0.0,11.778130265348711,114.0406698792971
75,107.79187369046704,0.0,13.53880012387223,121.33067381433928
76,108.11188984758816,0.0,1.3780264269893603,109.48991627457752
77,109.41165738871521,0.0,2.1126683652006695,111.52432575391589
78,113.4757905758149,0.0,1.759145162156223,115.23493573797113
79,113.79799991677123,0.0,4.146811698011777,117.944811614783
80,115.53317300719662,0.0,0.6607906968248777,116.1939637040215
81,117.33582150195265,0.0,10.479265621995102,127.81508712394775
82,118.31676865408382,0.0,0.6228468370953415,118.93961549117915
83,119.2784512089091,0.0,3.410313201938711,122.68876441084781
84,119.98274308848733,0.0,3.7362756809614863,123.71901876944881
85,123.22006417968359,0.0,12.071793868356336,135.29185804803993
86,123.51246077718594,0.0,12.001773762063108,135.51423453924903
87,124.56319764268629,0.0,1.2957215147171748,125.85891915740346
88,125.08790605431116,0.0,0.7956543385405697,125.88356039285173
89,126.41256080330739,0.0,17.423646423891025,143.8362072271984
90,126.4189146987484,0.0,7.393203313553609,133.812118012302
91,127.59115329728299,0.0,7.486717633726355,135.07787093100933
92,129.66698949273436,0.0,27.75041427965621,157.41740377239057
93,129.77204086957545,0.0,2.153646259819994,131.92568712939544
94,130.08656873095498,0.0,4.038331718351645,134.12490044930664
95,131.2018404805071,0.7238466488883546,10.591291770006883,142.51697889940232
96,131.3432930328814,2.4688249794205888,1.778971071506544,135.59108908380853
97,131.61431907629105,2.510581373015583,2.6459471474742515,136.7708475967809
98,132.40742810365134,2.670442827357988,21.382832586192574,156.4607035172019
99,133.59865080724532,1.6932072407946066,6.43758875254293,141.72944680058285
100,134.8004155332122,0.7138190060368288,8.45833668295306,143.97257122220208
101,135.0999149327428,0.49117415106573503,28.92336501369102,164.51445409749954
102,135.79092808207565,0.9799195147052444,10.032929855326906,146.8037774521078
103,136.01281444960625,5.716632350976596,0.5074602911491313,142.23690709173198
104,136.40445549558487,5.832451596147109,6.965491655285765,149.20239874701775
105,137.07314102401753,5.443837875384787,7.573025907098382,150.0900048065007
106,139.82812073890727,4.008086488291127,9.351098141942776,153.18730536914117
107,140.7073794424278,3.265191779774284,1.7426060383397959,145.71517726054188
108,140.98592535471843,4.729251905823446,0.2608013365064204,145.9759785970483
109,143.6442053625735,2.3317732344748094,0.3382015678699212,146.31418016491824
110,143.78149381546842,2.5326863494498184,2.3512073052068128,148.66538747012504
111,146.73224749403275,0.0715299580750468,2.762483758037045,149.56626121014483
112,147.2704111573475,1.394976312777544,4.228808445213345,152.89419591533837
113,149.26536437142744,0.0,3.169901298394913,152.43526566982234
114,149.2810770411383,0.2851841690065271,5.451679375423642,155.01794058556848
115,149.63100026228787,0.45900454421283143,11.05440593079508,161.14441073729577
116,150.20106367086944,2.234201998952898,1.540882834955864,153.9761485047782
117,150.47958794972,2.4146079656183588,9.064809216179734,161.9590051315181
118,150.52303203468034,2.6642733344608303,28.095377392429185,181.28268276157036
119,150.8305738586813,3.1455746460968896,17.92159976849486,171.89774827327307
120,152.31038230014772,2.7075582854207596,4.2295017289371115,159.2474423145056
121,152.8350372062145,3.625666310987384,13.210302783898133,169.67100630110002
122,154.09656690998816,3.320836862402416,5.251760279275783,162.66916405166634
123,154.18657886971727,5.060863444788339,0.11798489380725977,159.36542720831287
124,155.65833029750561,3.707096910807252,1.342106411578521,160.7075336198914
125,156.76479221215033,3.9427414077410674,7.246178082864721,167.95371170275612
126,157.03437721288802,4.110033524407754,10.218508615904963,171.36291935320074
127,157.16811942820124,4.79088570331686,11.928730564525424,173.88773569604353
128,158.94859169638212,3.7205723552842187,14.749974813588617,177.41913886525495
129,162.32106551190853,2.193388585591009,13.795471845717818,178.30992594321737
130,162.5227343370617,5.430977365694417,5.021731583408862,172.975443286165
131,165.6033796291652,4.067626671934818,2.9541936356657286,172.62519993676574
132,168.04069595174886,3.322223401451879,12.399157401371216,183.76207675457195
133,170.91348112560493,0.9842671476681346,2.0607371315992027,173.95848540487228
134,173.7406630529805,0.0,1.7940672639855657,175.53473031696606
135,173.8726737872937,0.0,12.003746526860198,185.8764203141539
136,173.8965202738143,0.0,15.75585548707491,189.6523757608892
137,175.79925563404805,0.0,7.222638436114633,183.0218940701627
138,175.85090721090828,0.0,5.517290686804996,181.36819789771326
139,177.0482837617265,0.37085510352844153,2.18455582149908,179.60369468675404
